timestamp,value,label,KPI ID,missing,is_test,fault_type,fault_id
1781371023,0.008298182013962468,0,recommendationservice_cpu,0,0,normal,
1781371028,0.007207392445114228,0,recommendationservice_cpu,0,0,normal,
1781371033,0.007510535518846221,0,recommendationservice_cpu,0,0,normal,
1781371038,0.008406700281381628,0,recommendationservice_cpu,0,0,normal,
1781371043,0.008406700281381628,0,recommendationservice_cpu,0,0,normal,
1781371048,0.008369199535962808,0,recommendationservice_cpu,0,0,normal,
1781371053,0.00704254192285377,0,recommendationservice_cpu,0,0,normal,
1781371058,0.008371199025693277,0,recommendationservice_cpu,0,0,normal,
1781371063,0.008371199025693277,0,recommendationservice_cpu,0,0,normal,
1781371068,0.008476221322536993,0,recommendationservice_cpu,0,0,normal,
1781371073,0.010143889519485298,0,recommendationservice_cpu,0,0,normal,
1781371078,0.010143889519485298,0,recommendationservice_cpu,0,0,normal,
1781371083,0.011161201880035674,0,recommendationservice_cpu,0,0,normal,
1781371088,0.011695879549576172,0,recommendationservice_cpu,0,0,normal,
1781371093,0.011695879549576172,0,recommendationservice_cpu,0,0,normal,
1781371098,0.011076072595314419,0,recommendationservice_cpu,0,0,normal,
1781371103,0.014227939056574577,0,recommendationservice_cpu,0,0,normal,
1781371108,0.014227939056574577,0,recommendationservice_cpu,0,0,normal,
1781371113,0.014227939056574577,0,recommendationservice_cpu,0,0,normal,
1781371118,0.012159758129560898,0,recommendationservice_cpu,0,0,normal,
1781371123,0.013574634026827877,0,recommendationservice_cpu,0,0,normal,
1781371128,0.013574634026827877,0,recommendationservice_cpu,0,0,normal,
1781371133,0.013650465134982881,0,recommendationservice_cpu,0,0,normal,
1781371138,0.013650465134982881,0,recommendationservice_cpu,0,0,normal,
1781371143,0.016673226260300756,0,recommendationservice_cpu,0,0,normal,
1781371148,0.017476027581748613,0,recommendationservice_cpu,0,0,normal,
1781371153,0.017476027581748613,0,recommendationservice_cpu,0,0,normal,
1781371158,0.018449720134948645,0,recommendationservice_cpu,0,0,normal,
1781371163,0.01832862380890066,0,recommendationservice_cpu,0,0,normal,
1781371168,0.021125043630017503,0,recommendationservice_cpu,0,0,normal,
1781371173,0.021125043630017503,0,recommendationservice_cpu,0,0,normal,
1781371178,0.021125043630017503,0,recommendationservice_cpu,0,0,normal,
